row,covered_cells,mean_observation_count
0,0,0.0
1,36,1.0
2,36,1.0
3,36,1.0
4,36,1.0
5,36,1.0
6,36,1.0
7,36,1.0
8,36,1.0
9,36,1.0
10,36,1.0
11,36,1.0
12,36,1.0
13,36,1.0
14,36,1.0
15,36,1.0
16,0,0.0
17,0,0.0
